0.33
test acc for dataset 1 0.705
0.255
test acc for dataset 2 0.782
         1404536 function calls (1400437 primitive calls) in 5.045 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <decorator-gen-0>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-1>:1(<module>)
        3    0.000    0.000    0.001    0.000 <decorator-gen-1>:1(_held_figure)
        1    0.000    0.000    0.000    0.000 <decorator-gen-2>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-3>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-4>:1(<module>)
      552    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:103(release)
      308    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:143(__init__)
      308    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:147(__enter__)
      308    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:151(__exit__)
      552    0.004    0.000    0.008    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      304    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:176(cb)
      244    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
    422/2    0.002    0.000    0.490    0.245 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     2419    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
      290    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
      290    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:311(__enter__)
      290    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap>:318(__exit__)
     1158    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      228    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
      302    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:369(__init__)
      502    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:403(cached)
      701    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:416(parent)
      290    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
      290    0.004    0.000    0.019    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
  290/288    0.002    0.000    0.085    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
      304    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:58(__init__)
    290/2    0.004    0.000    0.489    0.245 <frozen importlib._bootstrap>:651(_load_unlocked)
      302    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:707(find_spec)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:728(create_module)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(exec_module)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:753(is_package)
      552    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:78(acquire)
      286    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:780(find_spec)
      874    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:843(__enter__)
      874    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:847(__exit__)
      302    0.006    0.000    0.089    0.000 <frozen importlib._bootstrap>:870(_find_spec)
    308/1    0.003    0.000    0.491    0.491 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
